PCNM7,PCNM3,PCNM8,PCNM15,PCNM48,PCNM10,PCNM4,PCNM34,PCNM5,TEMPSD,uniqueness
0.017350916,-0.072891694,0.031885964,-0.03734359,0.095592341,-0.023043447,0.114269153,0.064628797,0.019334612,0.198620731,0.406529546
0.016954968,-0.072973871,0.031687072,-0.037138426,-0.100257273,-0.022654038,0.11424833,0.064700248,0.019328833,0.068259838,-0.414607279
-0.063858371,0.030996791,0.042529078,0.161261388,0.048128151,-0.043339078,0.130446456,0.026263731,0.115969589,-0.713905523,-0.585194489
-0.064079855,0.031286552,0.042482876,0.161148232,-0.048008064,-0.04338344,0.130467877,0.027055532,0.116070785,-0.713905523,-0.192303492
-0.151933586,0.070533701,-0.050703886,-0.123445258,0.014556159,0.003841431,0.115436765,0.031854514,0.136273313,-0.567249518,-0.816553209
-0.152248526,0.070903713,-0.050482593,-0.123183211,-0.014724652,0.003850144,0.115381788,0.032069209,0.136341164,-0.567249518,-2.143240432
-0.08247487,0.089744123,-0.118674456,-0.04138684,0.024314283,0.05046189,0.125301808,-0.057624105,0.116239463,-0.844266417,0.609497422
-0.082554882,0.090116366,-0.118445368,-0.040565953,0.00063626,0.050480395,0.124863664,-0.05717807,0.116048398,-0.844266417,-0.964712175
-0.082851536,0.090056158,-0.118296588,-0.04053049,-0.024143004,0.050507324,0.124729585,-0.056484067,0.116063533,-0.844266417,-0.59226973
-0.050380163,0.136974249,-0.027966083,-0.080713101,5.78E-05,0.038925283,0.072184508,0.138122295,0.071103654,-0.127281502,0.39427501
-0.072464067,0.118561012,-0.064753306,0.025305801,-0.000126018,0.081159098,0.095993994,0.206752064,0.085298038,-0.713905523,0.82955613
0.125731903,-0.030362017,-0.042510178,-0.194372931,0.410148427,-0.027500354,0.138492675,-0.00111904,0.033120001,0.198620731,0.540080483
0.126078858,-0.031028436,-0.041353121,-0.195116249,-0.422149337,-0.027683565,0.138143364,-0.001439068,0.032590465,0.198620731,-0.560806681
0.126337755,-0.030782021,-0.041632367,-0.194644424,0.013899024,-0.027789483,0.138212049,-0.00158568,0.032660457,0.08455495,0.232364681
0.2112876,0.150437963,-0.188863879,0.052821479,5.48E-06,0.099484772,0.074960722,-0.170799266,-0.108995237,0.557113189,0.739744325
0.204116035,0.163513319,-0.175626014,0.118510102,-1.85E-06,0.077606617,0.063906849,0.126827421,-0.123390188,0.736359417,-0.172443136
-0.13808751,0.184179367,0.10810236,0.08753315,0.027681667,0.04145296,-0.038356199,0.021685982,0.019753967,-0.192461949,-0.331574539
-0.137602566,0.18435806,0.108687178,0.087646087,0.115851811,0.041506546,-0.038687379,0.019869921,0.019302651,-0.062101056,-0.610068774
-0.137602966,0.184191578,0.109643644,0.086840075,-0.146694838,0.041566115,-0.039253471,0.019608451,0.018879023,0.003079391,-1.484103695
-0.115895352,0.18094349,0.094404761,-0.063903843,-0.005626688,0.064674755,-0.058733556,-0.086739547,-0.001627653,-0.176166837,1.287080399
-0.076694349,-0.099662686,-0.017619294,0.097277602,0.065003947,0.083184451,0.086016741,-0.122808449,0.022571941,-0.453183736,-1.911671499
-0.076768389,-0.099701437,-0.017605228,0.097532716,-0.065136477,0.08325705,0.085820449,-0.123261971,0.02241027,-0.453183736,-2.011461255
-0.085629741,-0.092206648,-0.023542957,0.058541045,0.000339982,0.093572633,0.091351672,0.152527098,0.029159398,-0.860561528,-1.993947966
-0.068379205,-0.037280649,0.102525996,-0.130400428,5.95E-07,0.012544486,0.064569817,-0.083547595,-0.013069636,-1.023512645,0.457696758
-0.059045909,-0.03657543,0.105512935,-0.155628192,3.27E-06,0.017034414,0.060340894,0.044994123,-0.00301414,-1.414595326,0.032859992
-0.004258402,-0.021302644,0.024320548,0.005983492,-0.005834105,0.053967256,0.079717223,0.03278805,-0.044668071,-0.045805944,-0.325083845
-0.004305698,-0.021392762,0.024678916,0.00555755,0.008140164,0.053966658,0.079558186,0.032340533,-0.044478751,-0.045805944,-0.376351265
-0.038919146,-0.02993679,0.058573557,-0.050425589,0.026942375,0.033243106,0.074706629,-0.218802771,-0.033523251,-0.159871726,-1.359530728
-0.074518454,-0.037731501,0.094643892,-0.075323792,-0.002045974,0.006734927,0.069150243,0.119221585,-0.023967021,-0.159871726,-1.67734483
-0.004449202,-0.021163287,0.023838824,0.006604087,-0.036751809,0.053925838,0.079976423,0.033581366,-0.044933676,-0.045805944,-0.792468705
0.070099259,0.013731175,-0.001163316,0.017795847,0.014042182,0.013943634,-0.068140335,-0.022687878,0.121196099,-1.26793932,0.541881969
0.069565598,0.01375163,-0.001291678,0.017835972,0.010057134,0.013806007,-0.067954425,-0.022946809,0.121081517,-1.26793932,0.073727865
0.06769155,0.013825638,-0.001923361,0.017877539,-0.007789436,0.013352065,-0.067271221,-0.02391882,0.120554762,-1.544956219,-0.601073651
0.068153058,0.013819502,-0.001841536,0.017837985,-0.005244288,0.013512342,-0.067417429,-0.023747731,0.120688171,-1.544956219,0.084141153
0.056103129,0.011961016,0.017706589,-0.054808047,3.83E-06,0.017321804,-0.062327304,0.064482238,0.119723076,-1.398300214,1.761018113
