cwm,plot,traits,forest_type,longitude,latitude
1.03,F41P4,p,Foothills,-84.0109991,10.2634054
259457.6575,F41P5,af,Foothills,-84.0083697,10.2695576
15.18,F41P5,afe,Foothills,-84.0083697,10.2695576
380.3275,F41P5,cfms,Foothills,-84.0083697,10.2695576
0.443125,F41P5,dm,Foothills,-84.0083697,10.2695576
26.500625,F41P5,n,Foothills,-84.0083697,10.2695576
1.233125,F41P5,p,Foothills,-84.0083697,10.2695576
218224.8038,F41P6,af,P. macroloba,-83.9952261,10.267953
15.13923077,F41P6,afe,P. macroloba,-83.9952261,10.267953
409.8353846,F41P6,cfms,P. macroloba,-83.9952261,10.267953
0.543076923,F41P6,dm,P. macroloba,-83.9952261,10.267953
24.50769231,F41P6,n,P. macroloba,-83.9952261,10.267953
1.126923077,F41P6,p,P. macroloba,-83.9952261,10.267953
601575.42,F42P1,af,P. macroloba,-84.0107738,10.3472099
14.27846154,F42P1,afe,P. macroloba,-84.0107738,10.3472099
412.4153846,F42P1,cfms,P. macroloba,-84.0107738,10.3472099
0.577692308,F42P1,dm,P. macroloba,-84.0107738,10.3472099
22.43538462,F42P1,n,P. macroloba,-84.0107738,10.3472099
0.881538462,F42P1,p,P. macroloba,-84.0107738,10.3472099
702294.4782,F42P2,af,P. macroloba,-84.0092627,10.3497784
14.60363636,F42P2,afe,P. macroloba,-84.0092627,10.3497784
413.3872727,F42P2,cfms,P. macroloba,-84.0092627,10.3497784
0.576363636,F42P2,dm,P. macroloba,-84.0092627,10.3497784
23.72909091,F42P2,n,P. macroloba,-84.0092627,10.3497784
1.034545455,F42P2,p,P. macroloba,-84.0092627,10.3497784
382667.848,F42P3,af,P. macroloba,-84.0050403,10.3498023
14.01733333,F42P3,afe,P. macroloba,-84.0050403,10.3498023
394.6593333,F42P3,cfms,P. macroloba,-84.0050403,10.3498023
0.503333333,F42P3,dm,P. macroloba,-84.0050403,10.3498023
23.39866667,F42P3,n,P. macroloba,-84.0050403,10.3498023
0.941333333,F42P3,p,P. macroloba,-84.0050403,10.3498023
407615.4584,F42P4,af,Q. paraensis,-84.0077658,10.344184
11.25473684,F42P4,afe,Q. paraensis,-84.0077658,10.344184
419.0863158,F42P4,cfms,Q. paraensis,-84.0077658,10.344184
0.594210526,F42P4,dm,Q. paraensis,-84.0077658,10.344184
21.47736842,F42P4,n,Q. paraensis,-84.0077658,10.344184
0.916315789,F42P4,p,Q. paraensis,-84.0077658,10.344184
