code,plot
POUT05,F38P1
PROTPA,F38P1
PTERRO,F38P1
SOCREX,F38P1
WELFRE,F38P1
ALCOFL,F38P2
BROSLA,F38P2
CESPSA,F38P2
ELAEGL,F38P2
EUTEPR,F38P2
HAMPAP,F38P2
HYERAL,F38P2
INGA05,F38P2
IRIADE,F38P2
JACACO,F38P2
MACRCO,F38P2
MANICH,F38P2
MINQGU,F38P2
QUARBR,F38P2
SIMAAM,F38P2
SOCREX,F38P2
STERRE,F38P2
STRYMI,F38P2
TAPIGU,F38P2
UNONSP,F38P2
VOCHFE,F38P2
WELFRE,F38P2
COUEPO,F38P3
ELAEGL,F38P3
EUTEPR,F38P3
LICNAF,F38P3
SLOASP,F38P3
SOCREX,F38P3
TAPIGU,F38P3
VANTOC,F38P3
VOCHFE,F38P3
WELFRE,F38P3
BROSGU,F38P4
CESPSA,F38P4
DENDAR,F38P4
DUSSMA,F38P4
HUMIDI,F38P4
HYERAL,F38P4
IRIADE,F38P4
MACRCO,F38P4
MANICH,F38P4
MINQGU,F38P4
PARATR,F38P4
PENTMA,F38P4
POURBI,F38P4
POUTDU,F38P4
PROTPA,F38P4
PSEUSU,F38P4
QUARBR,F38P4
SOCREX,F38P4
TAPIGU,F38P4
TERMAM,F38P4
WELFRE,F38P4
ASPISR,F39P1
CARAGU,F39P1
CASEAR,F39P1
EUTEPR,F39P1
GUATAE,F39P1
HIRTTR,F39P1
IRIADE,F39P1
LAETPR,F39P1
LICNAF,F39P1
MARAPA,F39P1
MICRCR,F39P1
MINQGU,F39P1
OCOTIN,F39P1
PENTMA,F39P1
POUTDU,F39P1
POUTFP,F39P1
SOCREX,F39P1
TAPIGU,F39P1
APEIME,F39P2
CALTCO,F39P2
CASEAR,F39P2
COCCTU,F39P2
CONCPL,F39P2
DUSSMA,F39P2
EUTEPR,F39P2
HERNDI,F39P2
INGAPE,F39P2
IRIADE,F39P2
LECYAM,F39P2
MINQGU,F39P2
PENTMA,F39P2
POUTDU,F39P2
ROLLPI,F39P2
SOCREX,F39P2
STRYMI,F39P2
TAPIGU,F39P2
VIROKO,F39P2
BROSGU,F3P1
BROSLA,F3P1
CARAGU,F3P1
CESPSA,F3P1
COCCTU,F3P1
CROTSM,F3P1
EUTEPR,F3P1
IRIADE,F3P1
PENTMA,F3P1
POUTDU,F3P1
POUTTO,F3P1
SAPIGL,F3P1
SLOAMI,F3P1
STRYMI,F3P1
TETRPA,F3P1
WELFRE,F3P1
BROSLA,F3P2
CESPSA,F3P2
DIPTPA,F3P2
IRIADE,F3P2
MACRHA,F3P2
ORMOIN,F3P2
PARATR,F3P2
PENTMA,F3P2
POUTBE,F3P2
POUTDU,F3P2
POUTFP,F3P2
SOCREX,F3P2
VIROSE,F3P2
WELFRE,F3P2
CHRYCO,F3P3
DENDAR,F3P3
EUTEPR,F3P3
IRIADE,F3P3
LICNAF,F3P3
MACRCO,F3P3
PENTMA,F3P3
POUTDU,F3P3
SOCREX,F3P3
TETRPA,F3P3
WELFRE,F3P3
CHRYCO,F3P4
COUEPO,F3P4
CROTSM,F3P4
ELAEGL,F3P4
EUTEPR,F3P4
GUARGE,F3P4
HYEROB,F3P4
IRIADE,F3P4
LICNAF,F3P4
MICRME,F3P4
PENTMA,F3P4
POUTCU,F3P4
POUTFP,F3P4
SOCREX,F3P4
TETRPA,F3P4
VANTOC,F3P4
WELFRE,F3P4
ABARAD,F40P1
CALOBR,F40P1
CARAGU,F40P1
ESCH01,F40P1
GUATAE,F40P1
HIRTTR,F40P1
INGA07,F40P1
IRIADE,F40P1
PENTMA,F40P1
SIMAAM,F40P1
SOCREX,F40P1
TAPIGU,F40P1
WELFRE,F40P1
ASPISR,F40P2
CALOBR,F40P2
CARAGU,F40P2
CESPSA,F40P2
EUTEPR,F40P2
HIRTTR,F40P2
INGA07,F40P2
IRIADE,F40P2
LICNAF,F40P2
LICNHY,F40P2
MICRCR,F40P2
MINQGU,F40P2
PENTMA,F40P2
POUT06,F40P2
POUTFP,F40P2
PROTPI,F40P2
SACOTR,F40P2
SOCREX,F40P2
TAPIGU,F40P2
VIROKO,F40P2
VOCHFE,F40P2
WELFRE,F40P2
BALIEL,F40P3
CALOBR,F40P3
CARAGU,F40P3
ELAEGL,F40P3
EUTEPR,F40P3
GUARKU,F40P3
IRIADE,F40P3
LICNAF,F40P3
LICNHY,F40P3
MICRCR,F40P3
MINQGU,F40P3
PENTMA,F40P3
SIMAAM,F40P3
SOCREX,F40P3
VOCHFE,F40P3
WELFRE,F40P3
HYERAL,F40P4
INGALE,F40P4
INGATH,F40P4
IRIADE,F40P4
PENTMA,F40P4
PROTPA,F40P4
SOCREX,F40P4
STRYMI,F40P4
TERMAM,F40P4
VOCHFE,F40P4
APEIME,F41P1
BILLCO,F41P1
BROSLA,F41P1
CARAGU,F41P1
CONORU,F41P1
GUAR03,F41P1
GUARKU,F41P1
HERNDI,F41P1
MACAMA,F41P1
NAUCNA,F41P1
POURBI,F41P1
POURMI,F41P1
POUTFP,F41P1
PROTSC,F41P1
SLOASP,F41P1
STRYMI,F41P1
VOCHAL,F41P1
CESPSA,F41P2
CORDBI,F41P2
EUTEPR,F41P2
GUATAE,F41P2
INGAAL,F41P2
INGALE,F41P2
INGATH,F41P2
NAUCNA,F41P2
POURBI,F41P2
PROTPA,F41P2
SOCREX,F41P2
TAPIGU,F41P2
VOCHAL,F41P2
ALCOFL,F41P3
ANDIIN,F41P3
ANNOMO,F41P3
APEIME,F41P3
CARAGU,F41P3
CUPASP,F41P3
DUSSMA,F41P3
EUTEPR,F41P3
HIRTSP,F41P3
INGATH,F41P3
IRIADE,F41P3
LONCSP,F41P3
NAUCNA,F41P3
PACHAQ,F41P3
POURBI,F41P3
POUT07,F41P3
TAPIGU,F41P3
VIROKO,F41P3
ZYGISP,F41P3
BILLCO,F41P4
EUTEPR,F41P4
MACAMA,F41P4
MARAPA,F41P4
MINQGU,F41P4
POURBI,F41P4
PROTPI,F41P4
PROTRA,F41P4
QUARBR,F41P4
SACOTR,F41P4
SOCREX,F41P4
TAPIGU,F41P4
VOCHAL,F41P4
ALCOFL,F41P5
APEIME,F41P5
BILLCO,F41P5
BYRSAR,F41P5
CARAGU,F41P5
CASEAR,F41P5
CORDSP,F41P5
DUSSMA,F41P5
GUARKU,F41P5
INGAAL,F41P5
IRIADE,F41P5
POURBI,F41P5
POURMI,F41P5
PTERRO,F41P5
SCLECO,F41P5
VOCHAL,F41P5
BROSLA,F41P6
CONCPL,F41P6
GUARBU,F41P6
GUARKU,F41P6
MANICH,F41P6
MINQGU,F41P6
PENTMA,F41P6
POURBI,F41P6
POUT07,F41P6
PROTPA,F41P6
SOCREX,F41P6
STERRE,F41P6
TAPIGU,F41P6
CLETCO,F42P1
